652138,Kobe,Brown,5689507947004,2,False
675589,Chris,Clark,3173258505842,4,False
790507,Anne,Doe,8939750653532,1,False
335206,Jane,Davis,7964471531397,0,False
461271,Anne,Smith,4417537374959,1,False
588815,Anne,Johnson,6106828071488,0,False
642741,Alex,Johnson,8516422513988,0,False
666771,Emily,Doe,5832028358074,1,False
32714,Emily,Clark,7152563672635,0,False
71976,Chris,Johnson,5332888182140,1,False
671251,Anne,Doe,7760699354505,1,False
470375,John,Davis,3159165325310,1,False
294198,Anne,Doe,5533638926613,1,False
980149,Jane,Smith,5841738847327,2,False
624047,Emily,Davis,2262846493045,0,False
